Designator,Mid X,Mid Y,Rotation,Layer
R803,43.5,-51.25,270.0,bottom
R804,41.97675,-51.25,270.0,bottom
R901,114.5,-61.0,180.0,top
R902,84.345,-39.9375,180.0,bottom
R903,114.5,-59.5,0.0,top
R904,102.145,-43.1875,0.0,bottom
R908,114.5,-64.0,180.0,top
R909,114.5,-66.25,180.0,top
R910,114.5,-62.5,0.0,top
R915,100.5,-62.0,0.0,top
R917,100.5,-59.75,0.0,top
R918,100.5,-63.5,180.0,top
R919,100.5,-58.25,180.0,top
R920,100.5,-66.0,0.0,top
R921,105.895,-20.9375,180.0,bottom
R922,104.645,-32.1875,180.0,top
R923,94.895,-34.1875,270.0,top
R924,90.845,-55.1875,90.0,bottom
R925,130.47,-23.1025,180.0,top
R926,122.395,-23.1025,180.0,top
R927,116.395,-27.8875,270.0,top
R928,108.395,-57.9375,90.0,bottom
T301,193.25,-53.75,180.0,top
T302,181.75,-53.75,180.0,top
TH1101,147.32,-29.5025,0.0,top
TH1102,161.12,-24.3525,90.0,top
TH1901,83.02,-15.2875,180.0,top
TH1902,65.52,-14.9375,180.0,top
U1001,29.645,-57.395,0.0,top
U1002,25.145,-50.395,270.0,top
U1003,16.62,-58.375,0.0,top
U1004,11.12,-58.875,0.0,top
U1005,34.395,-54.395,0.0,top
U1006,25.145,-50.299762,90.0,bottom
U1007,38.645,-57.645,90.0,top
U1008,24.645,-58.145,0.0,top
U1101,170.645,-53.4375,90.0,top
U1102,161.895,-53.6875,270.0,bottom
U1103,130.145,-57.7675,180.0,top
U1104,170.0,-61.75,0.0,top
U1801,116.4575,-83.1575,90.0,top
U1802,125.5425,-82.8425,270.0,top
U1901,60.27,-41.6875,90.0,bottom
U1902,68.895,-41.6875,270.0,bottom
U1903,30.9675,-38.98,180.0,top
U1904,62.025,-49.5,0.0,bottom
U2002,16.3925,-36.23,180.0,top
U2003,20.7125,-37.25,180.0,bottom
U2004,13.2125,-28.5,90.0,bottom
U201,73.5,-73.0,270.0,top
U202,71.0,-63.5,180.0,top
U203,51.0,-81.5,0.0,top
U204,58.25,-67.75,270.0,top
U205,60.0,-71.75,270.0,bottom
U2301,44.0,-72.75,90.0,bottom
U2303,39.75,-73.75,180.0,bottom
U301,208.25,-58.25,270.0,top
U401,30.75,-79.83,270.0,top
U501,81.0,-77.28,180.0,bottom
U601,70.5,-85.53,180.0,bottom
U901,107.25,-63.5,180.0,top
U906,84.345,-37.06282,90.0,bottom
U907,91.595,-45.9375,180.0,bottom
U908,87.5625,-44.6675,180.0,top
U909,102.395,-40.1875,90.0,bottom
U910,109.145,-49.4375,180.0,bottom
U911,105.1125,-47.9175,180.0,top
Y201,58.5,-54.5,90.0,top
